cost_brl,value_brl,effectiveness,validation_enabled,validation_candidate_net,threshold,orders,flagged,late_flagged,flag_rate,precision,mean_probability_flagged,net_per_order,predicted_net_per_order,expected_saved,break_even_effectiveness,net_positive
4.0,40.0,0.25,False,-0.1511400651465798,1.01,17831,0,0,0.0,0.0,0.0,0.0,0.0,0.0,inf,False
4.0,40.0,0.5,False,-0.11856677524429968,1.01,17831,0,0,0.0,0.0,0.0,0.0,0.0,0.0,inf,False
4.0,40.0,0.75,False,-0.08599348534201955,1.01,17831,0,0,0.0,0.0,0.0,0.0,0.0,0.0,inf,False
4.0,80.0,0.25,False,-0.11856677524429968,1.01,17831,0,0,0.0,0.0,0.0,0.0,0.0,0.0,inf,False
4.0,80.0,0.5,False,-0.053420195439739415,1.01,17831,0,0,0.0,0.0,0.0,0.0,0.0,0.0,inf,False
4.0,80.0,0.75,True,0.16026058631921825,0.04,17831,6583,629,0.36918849195221803,0.09554914172869512,0.14353023813278912,0.6397846447198698,1.7026287621383567,471.75,0.5232909379968204,True
4.0,120.0,0.25,False,-0.08599348534201955,1.01,17831,0,0,0.0,0.0,0.0,0.0,0.0,0.0,inf,False
4.0,120.0,0.5,True,0.16026058631921825,0.04,17831,6583,629,0.36918849195221803,0.09554914172869512,0.14353023813278912,0.6397846447198698,1.7026287621383567,314.5,0.3488606253312136,True
4.0,120.0,0.75,True,0.8052117263843648,0.04,17831,6583,629,0.36918849195221803,0.09554914172869512,0.14353023813278912,1.698053950984241,3.2923201271119718,471.75,0.3488606253312136,True
8.0,40.0,0.25,False,-0.33485342019543973,1.01,17831,0,0,0.0,0.0,0.0,0.0,0.0,0.0,inf,False
8.0,40.0,0.5,False,-0.3022801302931596,1.01,17831,0,0,0.0,0.0,0.0,0.0,0.0,0.0,inf,False
8.0,40.0,0.75,False,-0.2697068403908795,1.01,17831,0,0,0.0,0.0,0.0,0.0,0.0,0.0,inf,False
8.0,80.0,0.25,False,-0.3022801302931596,1.01,17831,0,0,0.0,0.0,0.0,0.0,0.0,0.0,inf,False
8.0,80.0,0.5,False,-0.23713355048859935,1.01,17831,0,0,0.0,0.0,0.0,0.0,0.0,0.0,inf,False
8.0,80.0,0.75,False,-0.1719869706840391,1.01,17831,0,0,0.0,0.0,0.0,0.0,0.0,0.0,inf,False
8.0,120.0,0.25,False,-0.2697068403908795,1.01,17831,0,0,0.0,0.0,0.0,0.0,0.0,0.0,inf,False
8.0,120.0,0.5,False,-0.1719869706840391,1.01,17831,0,0,0.0,0.0,0.0,0.0,0.0,0.0,inf,False
8.0,120.0,0.75,False,-0.0742671009771987,1.01,17831,0,0,0.0,0.0,0.0,0.0,0.0,0.0,inf,False
12.0,40.0,0.25,False,-0.5185667752442997,1.01,17831,0,0,0.0,0.0,0.0,0.0,0.0,0.0,inf,False
12.0,40.0,0.5,False,-0.4859934853420195,1.01,17831,0,0,0.0,0.0,0.0,0.0,0.0,0.0,inf,False
12.0,40.0,0.75,False,-0.45342019543973944,1.01,17831,0,0,0.0,0.0,0.0,0.0,0.0,0.0,inf,False
12.0,80.0,0.25,False,-0.4859934853420195,1.01,17831,0,0,0.0,0.0,0.0,0.0,0.0,0.0,inf,False
12.0,80.0,0.5,False,-0.4208469055374593,1.01,17831,0,0,0.0,0.0,0.0,0.0,0.0,0.0,inf,False
12.0,80.0,0.75,False,-0.355700325732899,1.01,17831,0,0,0.0,0.0,0.0,0.0,0.0,0.0,inf,False
12.0,120.0,0.25,False,-0.45342019543973944,1.01,17831,0,0,0.0,0.0,0.0,0.0,0.0,0.0,inf,False
12.0,120.0,0.5,False,-0.355700325732899,1.01,17831,0,0,0.0,0.0,0.0,0.0,0.0,0.0,inf,False
12.0,120.0,0.75,False,-0.2579804560260586,1.01,17831,0,0,0.0,0.0,0.0,0.0,0.0,0.0,inf,False
