matrix,column,encoding
distance,at_distance_band,one_hot
full,at_month,one_hot
full,at_weekday,one_hot
full,at_customer_state,one_hot
full,at_customer_region,one_hot
full,at_seller_state,one_hot
full,at_category,one_hot
full,at_payment_type,one_hot
full,at_distance_band,one_hot
full,at_freight_class,one_hot
full,at_hour,median_and_scale
full,at_days_to_christmas,median_and_scale
full,at_brazil_holiday,median_and_scale
full,at_item_count,median_and_scale
full,at_distinct_sellers,median_and_scale
full,at_total_price,median_and_scale
full,at_total_freight,median_and_scale
full,at_freight_to_price,median_and_scale
full,at_max_weight_g,median_and_scale
full,at_max_volume_cm3,median_and_scale
full,at_installments,median_and_scale
full,at_distance_km,median_and_scale
full,at_geo_missing,median_and_scale
full,at_promise_days,median_and_scale
full,at_global_late_rate,median_and_scale
full,at_global_handling_days,median_and_scale
full,at_global_history_count,median_and_scale
full,at_seller_history_count,median_and_scale
full,at_seller_late_rate,median_and_scale
full,at_seller_mean_handling_days,median_and_scale
full,at_seller_is_new,median_and_scale
full,at_route_history_count,median_and_scale
full,at_route_late_rate,median_and_scale
full,at_route_mean_handling_days,median_and_scale
full,at_distance_history_count,median_and_scale
full,at_distance_late_rate,median_and_scale
mix,at_category,one_hot
mix,at_distance_band,one_hot
mix,at_freight_class,one_hot
mix,at_month,one_hot
mix,at_item_count,median_and_scale
leaky,at_month,one_hot
leaky,at_weekday,one_hot
leaky,at_customer_state,one_hot
leaky,at_customer_region,one_hot
leaky,at_seller_state,one_hot
leaky,at_category,one_hot
leaky,at_payment_type,one_hot
leaky,at_distance_band,one_hot
leaky,at_freight_class,one_hot
leaky,at_hour,median_and_scale
leaky,at_days_to_christmas,median_and_scale
leaky,at_brazil_holiday,median_and_scale
leaky,at_item_count,median_and_scale
leaky,at_distinct_sellers,median_and_scale
leaky,at_total_price,median_and_scale
leaky,at_total_freight,median_and_scale
leaky,at_freight_to_price,median_and_scale
leaky,at_max_weight_g,median_and_scale
leaky,at_max_volume_cm3,median_and_scale
leaky,at_installments,median_and_scale
leaky,at_distance_km,median_and_scale
leaky,at_geo_missing,median_and_scale
leaky,at_promise_days,median_and_scale
leaky,at_global_late_rate,median_and_scale
leaky,at_global_handling_days,median_and_scale
leaky,at_global_history_count,median_and_scale
leaky,at_seller_history_count,median_and_scale
leaky,at_seller_late_rate,median_and_scale
leaky,at_seller_mean_handling_days,median_and_scale
leaky,at_seller_is_new,median_and_scale
leaky,at_route_history_count,median_and_scale
leaky,at_route_late_rate,median_and_scale
leaky,at_route_mean_handling_days,median_and_scale
leaky,at_distance_history_count,median_and_scale
leaky,at_distance_late_rate,median_and_scale
leaky,post_approval_days,median_and_scale
leaky,post_handling_days,median_and_scale
leaky,post_linehaul_days,median_and_scale
leaky,post_total_days,median_and_scale
leaky,post_review_score,median_and_scale
