key,value,display,source
rio_smr,1.656259573586605,1.66,outputs/metrics.json
confidence,0.95,95%,outputs/metrics.json
rio_lower,1.5775336929488848,1.58,outputs/metrics.json
rio_upper,1.737897152768526,1.74,outputs/metrics.json
rio_excess,657.7416423892452,658,outputs/metrics.json
highest_state_smr,2.052870164832786,2.05,outputs/tables/smr_state.csv
highest_state_lower,1.6569311696055995,1.66,outputs/tables/smr_state.csv
highest_state_upper,2.514904642621779,2.51,outputs/tables/smr_state.csv
tail_sellers,11.0,11,outputs/metrics.json
tail_orders,3447.0,"3,447",outputs/metrics.json
tail_share,0.03625291853347637,3.6%,outputs/metrics.json
tail_raw,0.15404699738903394,15.4%,outputs/metrics.json
tail_smr,1.8188462969692538,1.82,outputs/metrics.json
tail_excess,239.05669457347443,239,outputs/metrics.json
seller_min,100.0,100,outputs/metrics.json
multiseller,1223.0,"1,223",outputs/metrics.json
distance_boundary,200.0,200,outputs/metrics.json
far_linehaul,0.8686276964237172,86.9%,outputs/metrics.json
late_low_reviews,0.5414973121804117,54.1%,outputs/tables/review_summary.csv
ontime_low_reviews,0.0921489126428308,9.2%,outputs/tables/review_summary.csv
missing_reviews,639.0,639,outputs/metrics.json
roc,0.6995243679380347,0.700,outputs/metrics.json
ap,0.10494920837192574,0.105,outputs/metrics.json
floor,0.056362514721552355,0.056,outputs/metrics.json
train_rate,0.07673198040587824,7.7%,outputs/metrics.json
validation_rate,0.11950624657806978,12.0%,outputs/metrics.json
test_rate,0.056362514721552355,5.6%,outputs/metrics.json
ece_before,0.015576525183161993,0.016,outputs/metrics.json
ece_after,0.041890372029735126,0.042,outputs/metrics.json
leaky_ap,0.8392114696609325,0.839,outputs/metrics.json
cost,8.0,8,outputs/metrics.json
value,80.0,80,outputs/metrics.json
effectiveness,0.5,50%,outputs/metrics.json
flags,1529.0,"1,529",outputs/metrics.json
threshold,0.225,0.225,outputs/metrics.json
precision,0.1157619359058208,11.6%,outputs/metrics.json
net,-0.2889350008412316,0.289,outputs/metrics.json
break_even,0.8638418079096045,86.4%,outputs/metrics.json
break_even_lower,0.7526260721765138,75.3%,outputs/metrics.json
break_even_upper,0.9985228482055118,99.9%,outputs/metrics.json
cells,27.0,27,outputs/metrics.json
positive_cells,3.0,3,outputs/metrics.json
min_year,2016.0,2016,outputs/metrics.json
max_year,2018.0,2018,outputs/metrics.json
loaded,99441.0,"99,441",outputs/metrics.json
retained,95082.0,"95,082",outputs/metrics.json
