month,orders,late,late_rate
2016-09-01,1,1,1.0
2016-10-01,261,3,0.011494252873563218
2016-12-01,1,0,0.0
2017-01-01,747,23,0.030789825970548863
2017-02-01,1638,53,0.03235653235653236
2017-03-01,2545,142,0.05579567779960707
2017-04-01,2279,179,0.0785432207108381
2017-05-01,3530,128,0.036260623229461754
2017-06-01,3130,120,0.038338658146964855
2017-07-01,3841,133,0.034626399375162716
2017-08-01,4190,139,0.03317422434367542
2017-09-01,4136,214,0.051740812379110254
2017-10-01,4478,237,0.05292541313086199
2017-11-01,7287,1043,0.1431316042267051
2017-12-01,5508,460,0.08351488743645606
2018-01-01,7045,463,0.06572036905606814
2018-02-01,6543,1048,0.1601711753018493
2018-03-01,7001,1496,0.21368375946293386
2018-04-01,6409,354,0.055234826025901074
2018-05-01,6681,551,0.08247268372998054
2018-06-01,5973,82,0.013728444667671187
2018-07-01,5593,266,0.04755944931163955
2018-08-01,6265,657,0.1048683160415004
