segment_type,segment,orders,observed,expected,raw_late_rate,smr,ci_lower,ci_upper,excess_late_orders,p_excess,q_excess,seller_tail,positive_excess,seller_share,cumulative_positive_excess_share
seller,06a2c3af7b3aee5d69171b0e14f0ee87,369,90.0,41.844030527994214,0.24390243902439024,2.1508444302417,1.7295329158764727,2.6437529653338876,48.155969472005786,7.356447582525242e-11,1.486002411670099e-08,True,48.155969472005786,0.00033921302578018993,0.025490702270275736
seller,4a3ca9315b744ce9f8e9374361493884,1710,192.0,156.97726876030126,0.11228070175438597,1.2231070238148762,1.0562111227149082,1.408886304683252,35.02273123969874,0.003730364211909828,0.054368025242227065,False,35.02273123969874,0.0006784260515603799,0.04402950492571858
seller,1f50f920176fa81dab994f9023523100,1373,148.0,113.67373606949586,0.10779315367807721,1.3019718108809089,1.1006660028987905,1.52943891454394,34.32626393050414,0.0011554122431914927,0.023339327312468152,True,34.32626393050414,0.0010176390773405698,0.06219964215890303
seller,88460e8ebdecbfecb5f9601833981930,230,48.0,17.09318743936229,0.20869565217391303,2.808136292325756,2.070498024375705,3.7231813205051694,30.90681256063771,6.951339435388528e-10,7.020852829742413e-08,True,30.90681256063771,0.0013568521031207597,0.0785597396866752
seller,4869f7a5dfa277a7dca6462dcf3b52b2,1102,130.0,101.57658929095416,0.11796733212341198,1.279822456212133,1.069288302125504,1.519685240110969,28.42341070904584,0.003768080957382074,0.054368025242227065,False,28.42341070904584,0.0016960651289009499,0.09360528248923974
seller,8160255418d5aaa7dbdc9f4c64ebda44,367,62.0,39.51637455221493,0.16893732970027248,1.568969843579055,1.20292018245151,2.0113485302333047,22.483625447785073,0.0005661582891474246,0.012707108267531086,True,22.483625447785073,0.0020352781546811396,0.10550668139221593
seller,e5a3438891c0bfdb9394643f95273d8e,213,40.0,18.0164951156247,0.18779342723004694,2.220187652664487,1.5861346093339812,3.023265436169461,21.9835048843753,5.448817511998222e-06,0.0003668870458078803,True,21.9835048843753,0.0023744911804613297,0.11714334833109923
seller,1025f0e2d44d7041d6cf58b6550e0bfa,885,91.0,73.12123569268711,0.10282485875706214,1.2445085088886285,1.0020006199670748,1.5279806728939298,17.878764307312892,0.02398054717070823,0.17300251887439508,False,17.878764307312892,0.0027137042062415195,0.12660722711736433
seller,a49928bcdf77c55c6d6e05e09a9b4ca5,96,25.0,7.375385381537103,0.2604166666666667,3.3896533817178995,2.1936049454893065,5.003797061224076,17.624614618462896,2.7759162910125857e-07,,False,17.624614618462896,0.0030529172320217096,0.13593657524997238
seller,7d13fca15225358621be4086e1eb0964,547,68.0,50.57067911428236,0.12431444241316271,1.3446526958107465,1.0441754328292017,1.7046676980788826,17.429320885717637,0.011132534843053151,0.0936988349290307,False,17.429320885717637,0.0033921302578018998,0.14516254732243164
seller,1ca7077d890b907f89be8c954a02686a,108,24.0,8.563728238803613,0.2222222222222222,2.8025177038257927,1.7956259733943554,4.169924196326676,15.436271761196387,1.122079907193183e-05,0.0005666503531325574,True,15.436271761196387,0.0037313432835820895,0.15333352616351723
seller,2eb70248d66e0e3ef83659f71b244378,186,26.0,11.159627487392253,0.13978494623655913,2.329826871853372,1.5219202643443366,3.4137361776783783,14.840372512607747,0.00010268058955435131,0.003456913181663161,True,14.840372512607747,0.004070556309362279,0.16118907390653958
seller,1835b56ce799e6a4dc4eddc053f04066,385,49.0,34.2417965447082,0.12727272727272726,1.4309996829758211,1.0586614432305936,1.8918574703969389,14.758203455291799,0.010215162138738595,0.08971577182718245,False,14.758203455291799,0.004409769335142469,0.16900112658552655
seller,855668e0971d4dfd7bef1b6a4133b41b,295,42.0,27.41466291425321,0.1423728813559322,1.532026862098082,1.1041502070317273,2.0708552556732087,14.58533708574679,0.005733362860899102,0.06500134019821444,False,14.58533708574679,0.0047489823609226595,0.1767216748216183
seller,7aa4334be125fcdd2ba64b3180029f14,213,29.0,14.583501794806159,0.13615023474178403,1.9885484575678665,1.3317621111045426,2.8558872913102133,14.416498205193841,0.0005627737076085617,0.012707108267531086,True,14.416498205193841,0.00508819538670285,0.18435285051089995
seller,16090f2ca825584b5a147ab24aa30c86,391,43.0,28.853756124853465,0.10997442455242967,1.49027391144273,1.078518619111855,2.007389178717465,14.146243875146535,0.00818060685695293,0.08256994661025353,False,14.146243875146535,0.005427408412483039,0.19184097077548512
seller,beadbee30901a7f61d031b6b686095ad,63,16.0,2.302076703886466,0.25396825396825395,6.9502462593831495,3.972666261815643,11.286764491250576,13.697923296113533,3.436680305452125e-09,,False,13.697923296113533,0.005766621438263229,0.19909177868758177
seller,cd68562d3f44870c08922d380acae552,122,22.0,8.575984083966862,0.18032786885245902,2.565303268359588,1.607661900633127,3.8838999770762563,13.424015916033138,8.993183391778115e-05,0.003456913181663161,True,13.424015916033138,0.006105834464043419,0.20619759748302652
seller,54965bbe3e4f07ae045b90b0b8541f52,71,22.0,9.2344133752799,0.30985915492957744,2.382392806769187,1.493032888167811,3.606971340084247,12.7655866247201,0.0002474981248936733,,False,12.7655866247201,0.006445047489823609,0.2129548857595157
seller,897060da8b9a21f655304d50fd935913,297,36.0,23.34796898823198,0.12121212121212122,1.5418900041431867,1.0799208029625085,2.1346256933250385,12.65203101176802,0.00899276646250286,0.08256994661025353,False,12.65203101176802,0.0067842605156037995,0.2196520649290215
seller,ea8482cd71df3c1969d7b9473ff13abc,1098,118.0,105.60343584319686,0.10746812386156648,1.1173878866518123,0.9248914882401443,1.3381337794130692,12.396564156803137,0.12448944487680032,0.5715197242071287,False,12.396564156803137,0.007123473541383989,0.22621401622104434
seller,dd7ddc04e1b6c2c614352b383efe2d36,116,19.0,7.406658255298256,0.16379310344827586,2.565259438885087,1.5444537563460308,4.00597037812038,11.593341744701744,0.0002604013590131953,0.007514439217237922,True,11.593341744701744,0.007462686567164179,0.23235079274058976
seller,8f2ce03f928b567e3d56181ae20ae952,150,23.0,11.509981861566432,0.15333333333333332,1.998265529574853,1.2667289325389461,2.9983794336002783,11.490018138433568,0.0018400869571200222,0.03379068775802223,True,11.490018138433568,0.007801899592944369,0.23843287632561946
seller,cac4c8e7b1ca6252d8f20b2fc1a2e4af,70,17.0,5.53429397069094,0.24285714285714285,3.0717558716667885,1.789410992992647,4.918178716210922,11.465706029309061,6.807055505846694e-05,,False,11.465706029309061,0.008141112618724558,0.24450209062897857
seller,1900267e848ceeba8fa32d80c1a5f5a8,370,42.0,30.85959278001161,0.11351351351351352,1.3610030533910435,0.980891288756219,1.8396807496197072,11.14040721998839,0.032355325705059355,0.2108314771749029,False,11.14040721998839,0.008480325644504749,0.2503991124671421
seller,e9bc59e7b60fc3063eb2290deda4cced,204,23.0,12.069038819820728,0.11274509803921569,1.9057027111577092,1.2080520457934236,2.859489758053961,10.930961180179272,0.003261798391368051,0.054368025242227065,False,10.930961180179272,0.008819538670284939,0.2561852669154265
seller,f7ba60f8c3f99e7ee4042fdef03b70c4,214,34.0,23.178374927247916,0.1588785046728972,1.4668845467690859,1.0158601911686311,2.049824124613225,10.821625072752084,0.020616213360405162,0.1542398184741423,False,10.821625072752084,0.009158751696065129,0.2619135457941319
seller,ede0c03645598cdfc63ca8237acbe73d,43,15.0,4.3208701590649055,0.3488372093023256,3.471522968245406,1.9429850524830836,5.725749203452103,10.679129840935094,4.721243125715694e-05,,False,10.679129840935094,0.009497964721845319,0.26756639677534083
seller,4e922959ae960d389249c378d1c939f5,407,44.0,33.81377581337821,0.10810810810810811,1.3012448016110545,0.9454864648832095,1.7468604099793514,10.186224186621793,0.05240750352812042,0.33082236602126014,False,10.186224186621793,0.00983717774762551,0.27295833490567795
seller,7ad32824caee82087b3e2e5f33b1bf32,139,21.0,10.911936164095284,0.1510791366906475,1.9244980619570116,1.1912946326472549,2.9417997184191647,10.088063835904716,0.004278753551101399,0.057620547821498835,False,10.088063835904716,0.0101763907734057,0.2782983132000422
seller,c70c1b0d8ca86052f45a432a38b73958,253,22.0,12.018219165833818,0.08695652173913043,1.8305540693202735,1.1471984893922558,2.771480859811257,9.981780834166182,0.006166637580990486,0.06556109428210938,False,9.981780834166182,0.01051560379918589,0.28358203204446897
seller,835f0f7810c76831d6c7d24c7a646d4d,42,13.0,3.150480400477894,0.30952380952380953,4.126354824498524,2.1971101581694703,7.05619241903132,9.849519599522106,2.659758319742243e-05,,False,9.849519599522106,0.010854816824966078,0.28879574021750487
seller,2c9e548be18521d1c43cde1c582c6de8,123,20.0,10.31655876945604,0.16260162601626016,1.938630937596504,1.184166140900885,2.9940582507148594,9.68344123054396,0.004816716448931941,0.060811045167765754,False,9.68344123054396,0.011194029850746268,0.293921537082689
seller,c3867b4666c7d76867627c2f7fb22e21,221,27.0,18.149011306067134,0.12217194570135746,1.4876843451507478,0.9803933576159376,2.1645026157446825,8.850988693932866,0.030755720667707095,0.2070885191625611,False,8.850988693932866,0.011533242876526458,0.29860668660970197
seller,4c2b230173bb36f9b240f2b8ac11786e,255,26.0,17.1991482075607,0.10196078431372549,1.5117027707552673,0.9874944392961388,2.2149948138930555,8.8008517924393,0.028458227641175764,0.19822627529370704,False,8.8008517924393,0.011872455902306648,0.3032652968552356
seller,2a1348e9addc1af5aaa619b1a3679d6b,45,13.0,4.2663871233724,0.28888888888888886,3.0470746381130187,1.6224389139662243,5.210590430571775,8.7336128766276,0.0004972374824933728,,False,8.7336128766276,0.012211668928086838,0.307888315102462
seller,d13e50eaa47b4cbe9eb81465865d8cfc,64,14.0,5.26847319575013,0.21875,2.657316357098153,1.452779579950168,4.45852531636371,8.73152680424987,0.001137985426666256,,False,8.73152680424987,0.012550881953867029,0.31251022911587323
